,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
001,21086505 ,245502 ,19772186 ,1375381 ,1415443 ,1918 ,0 ,0 ,1598 ,4193 ,25657773 ,15055462 ,19888436 ,2953843 ,285947 ,150694 ,14835423 ,1157424 ,289316 ,2595093 ,6477846 ,5360247 ,3031673 ,3811674 ,18343529 ,37341 ,4488814 ,523617 ,344224 ,177939 ,211646 ,812002 ,0 ,3755248 ,0 ,9165 ,0 ,0 ,0 ,44470 ,119929 ,111614 ,34996 ,124465 ,98998 ,5050126 ,420491 ,4033 ,0 ,8780 ,10544 ,9531 ,60 ,8647 ,3724 ,218 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,548 ,307 ,145 ,2005 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,748955 ,7150 ,3755 ,918 ,0 ,1374483 ,4589 ,0 ,1351 ,1090 ,0 ,0 ,13275 ,3767638 ,0 ,0 ,0 ,0 ,53769 ,0 ,2495672 ,0 ,0 ,6726 ,7919 ,192518 ,0 ,124445 ,104177 ,19534 ,6215 ,4925 ,61080 ,827243 ,623926 ,201968 ,30849 ,581729 ,1811 ,4259 ,0 ,4133 ,16231 ,636 ,88229 ,0 
002,75607 ,1208970 ,43452 ,69758 ,66142 ,699041 ,1618 ,33086 ,33399 ,4736 ,172603 ,45 ,3347 ,15520 ,429 ,384 ,64932 ,18477 ,72327 ,130302 ,536684 ,17539 ,92147 ,10 ,2686 ,131 ,160 ,46 ,2255 ,19622 ,5676 ,10367580 ,1957169 ,1533648 ,0 ,181977 ,4359 ,350 ,9753 ,2304 ,1153 ,4461 ,6052 ,1319488 ,154557 ,45596 ,3632 ,4004988 ,3660 ,1243 ,1143 ,1349 ,16528 ,8630 ,285 ,300 ,122 ,114 ,2132 ,1500 ,19818 ,531 ,31113 ,658 ,16006 ,259 ,637 ,4636 ,210 ,44 ,60 ,192 ,6777 ,1145 ,1696 ,950 ,132 ,2562 ,303 ,20 ,197 ,0 ,0 ,0 ,0 ,0 ,0 ,1228 ,0 ,442201 ,1031 ,633 ,131 ,0 ,1218518 ,7831 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,201009 ,0 ,0 ,0 ,0 ,0 ,0 ,61614 ,0 ,0 ,0 ,0 ,0 ,117769 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
003,399619 ,19755 ,13231699 ,44152 ,539960 ,0 ,0 ,0 ,362 ,1053 ,324 ,947136 ,799087 ,39272 ,27450488 ,0 ,3404557 ,163050 ,5315323 ,194389 ,1659437 ,152514 ,360546 ,0 ,197675 ,5711415 ,374865 ,214624 ,362552 ,47817 ,6579077 ,0 ,0 ,4148 ,0 ,38238 ,136 ,59 ,12986 ,50666 ,1971 ,34660 ,9069 ,192230 ,77818 ,4591772 ,16550 ,0 ,0 ,2228 ,1671 ,2418 ,1303 ,4734 ,871 ,788 ,1129 ,917 ,8481 ,1473 ,3470 ,0 ,0 ,413 ,639 ,435 ,1071 ,3898 ,116 ,88 ,42 ,205 ,103 ,2020 ,361 ,527 ,17 ,43 ,56 ,21 ,28 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5347838 ,1844 ,0 ,236 ,0 ,0 ,0 ,0 ,0 ,545 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16498 ,0 ,7231511 ,0 ,0 ,0 ,856 ,0 ,0 ,147594 ,0 ,0 ,0 ,0 ,14808 ,0 ,55606 ,0 ,281582 ,4426 ,0 ,0 ,0 ,187 ,1089 ,120 ,11839 ,0 
004,244 ,99 ,9004 ,1597427 ,59696 ,0 ,0 ,0 ,60 ,209 ,0 ,1642051 ,132975 ,4487 ,122972 ,13334471 ,568087 ,24357 ,21957 ,36609 ,362946 ,23936 ,24618 ,0 ,30072 ,4201 ,5891 ,10097 ,16178 ,5962 ,121012 ,35779 ,0 ,647 ,0 ,4373 ,15 ,7 ,2207 ,640 ,390 ,62625 ,1541 ,41956 ,578 ,10989 ,0 ,1409 ,0 ,417 ,313 ,453 ,244 ,128 ,163 ,148 ,189 ,153 ,1419 ,246 ,0 ,0 ,0 ,83 ,128 ,87 ,214 ,778 ,0 ,0 ,0 ,257 ,15 ,288 ,52 ,75 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33363 ,301 ,0 ,40 ,0 ,0 ,0 ,0 ,0 ,1087 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6176 ,0 ,7842055 ,0 ,0 ,0 ,0 ,0 ,0 ,97753 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55998 ,3146 ,0 ,0 ,0 ,0 ,0 ,0 ,93415 ,0 
005,4135684 ,571859 ,1128987 ,937362 ,737071 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3850587 ,20129 ,1124119 ,238003 ,273600 ,19960 ,726686 ,30950 ,0 ,28486 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
006,144071 ,11824 ,93778 ,13137 ,5402 ,9698763 ,224913 ,136278 ,119979 ,88272 ,28527 ,22046 ,79966 ,16226 ,10893 ,4838 ,25218 ,75028 ,107466 ,78990 ,164629 ,156087 ,124933 ,22750 ,570166 ,57831 ,67860 ,80637 ,249204 ,380561 ,45334 ,484601 ,71854 ,700917 ,44330 ,39227 ,431802 ,10764168 ,3142064 ,2248278 ,25912 ,260707 ,552557 ,856847 ,66365 ,57559 ,247459 ,305170 ,207836 ,4070814 ,799951 ,3075033 ,1662072 ,465449 ,722401 ,588071 ,1788866 ,2500973 ,5134936 ,94532 ,1617725 ,634340 ,497612 ,58648 ,74112 ,41947 ,133613 ,828443 ,66386 ,23279 ,31300 ,60251 ,35580 ,174414 ,16477 ,51703 ,6139 ,35288 ,47967 ,33030 ,24981 ,1617 ,2145 ,395 ,45701 ,2267 ,443 ,70628 ,9317 ,347396 ,46026 ,33020615 ,698766 ,12366 ,569465 ,269152 ,259017 ,31425 ,21486 ,15132 ,5249 ,54315 ,14668 ,9454 ,0 ,0 ,0 ,84025 ,26404 ,67769 ,0 ,0 ,15681 ,2497 ,105478 ,1148 ,15439 ,24823 ,7735 ,6617 ,5094 ,40196 ,19252 ,119015 ,166637 ,320014 ,455452 ,1525 ,583 ,5909 ,8387 ,4787 ,1231 ,3494 ,362993 
007,0 ,2711 ,10765 ,0 ,0 ,90453 ,1282450 ,595687 ,100590 ,470581 ,739 ,7835 ,195705 ,5121 ,5654 ,5381 ,9537 ,22111 ,20538 ,18922 ,60315 ,31133 ,24988 ,36922 ,181106 ,25940 ,6106 ,11039 ,23253 ,12491 ,151538 ,9428 ,27270 ,48282 ,18684 ,6147 ,117753997 ,1159647 ,4001900 ,1724506 ,212394 ,578619 ,3858428 ,40771 ,18542 ,4039 ,3712378 ,50885 ,107590 ,82430 ,262466 ,645167 ,174291 ,96390 ,76282 ,153423 ,47322 ,45510 ,1340409 ,4726 ,188102 ,142941 ,260955 ,30427 ,19161 ,10786 ,28748 ,174949 ,47600 ,18161 ,6388 ,31380 ,11870 ,153486 ,40229 ,39075 ,3227 ,17196 ,4112 ,13619 ,107002 ,2407 ,1169 ,2583 ,128821 ,903 ,443 ,3811 ,659 ,40038 ,2317 ,3594032 ,5542419 ,22386 ,0 ,0 ,243580 ,428192 ,51046 ,1874 ,33651 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32299 ,342026 ,0 ,0 ,0 ,0 ,10713 ,662 ,1448 ,3897 ,0 ,0 ,0 ,9644 ,16484 ,11017 ,15425 ,0 ,17383 ,0 ,0 ,0 ,0 ,2 ,0 ,18333 ,33120 
008,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4154517 ,24472 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55273 ,8714 ,7987773 ,9324595 ,34799639 ,2640324 ,847281 ,355799 ,451431 ,28510 ,3805 ,0 ,14487 ,583002 ,97266 ,0 ,0 ,35658 ,7983 ,29809 ,0 ,124 ,843 ,67433 ,0 ,14436 ,76512 ,0 ,1478 ,0 ,0 ,0 ,0 ,0 ,0 ,5403 ,66938 ,8209 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10127 ,0 ,0 ,3327 ,2560 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
009,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2163996 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1529158 ,295678 ,5677 ,37415 ,35258 ,261373 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,328638 ,34240 ,50851 ,10637 ,52424 ,1255423 ,29680577 ,653179 ,1035197 ,23953 ,17367 ,0 ,9355 ,131593 ,10631 ,10104 ,562 ,8558 ,2987 ,35238 ,1590 ,26045 ,214 ,21846 ,42559 ,21266 ,0 ,0 ,4232 ,0 ,0 ,1776 ,0 ,42389 ,0 ,5280 ,297 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,98906 ,0 ,0 ,21131 ,16279 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
010,16098 ,2418 ,6212 ,16367 ,8069 ,39181 ,49018 ,10354 ,53543 ,2579576 ,834 ,32734 ,1999 ,5545 ,0 ,0 ,0 ,0 ,0 ,0 ,95520 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24525 ,5440053 ,3212997 ,11212 ,133119 ,346591 ,941654 ,8343 ,123514 ,0 ,0 ,0 ,3671652 ,871126 ,4152722 ,2065865 ,2340586 ,1377719 ,1129585 ,643468 ,201887 ,156420 ,65854 ,531529 ,9076 ,557784 ,6585 ,20063 ,371 ,8208 ,114991 ,16152 ,7213 ,5075 ,49218 ,14111 ,31331 ,3262 ,10076 ,24794 ,33631 ,16381 ,13947 ,0 ,595 ,185 ,991 ,0 ,319 ,163 ,3645 ,252 ,151728 ,3980 ,74259 ,341 ,1159 ,8346613 ,77449 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1712 ,439 ,242 ,441 ,1995 ,2031 ,5339 ,3909 ,464 ,71902 ,70537 ,947 ,369 ,0 ,14291 ,5719 ,874 ,803 ,63952 
