"","883028.WI","883023.WI","883111.WI","883112.WI","883113.WI","883114.WI","883115.WI","883116.WI","883117.WI","883118.WI","883119.WI","883120.WI","883121.WI","883122.WI","883123.WI","883124.WI","883125.WI","883126.WI","883127.WI","883128.WI","883129.WI","883130.WI","883131.WI","883132.WI","883133.WI","883134.WI","883135.WI","883136.WI","883137.WI","883138.WI","883139.WI","883140.WI","883141.WI","883142.WI","883143.WI","883144.WI","883145.WI","883146.WI","883147.WI","883148.WI","883149.WI","883150.WI","883151.WI","883152.WI","883153.WI","883154.WI","883155.WI","883158.WI","883159.WI","883160.WI","883161.WI","883162.WI","883163.WI","883164.WI","883165.WI","883166.WI","883167.WI","883169.WI","883170.WI","883171.WI","883172.WI","883175.WI","883176.WI","883177.WI","883178.WI","883180.WI","883181.WI","883182.WI","883183.WI","883185.WI","883186.WI","883187.WI","883189.WI"
"883028.WI",13472788.47,33159670.33,114951.4163185,35744.404071,29042.80007,60130.818971,152224.977494,100706.0483,65650.64707,75366.75119,57675.36596,73023.73374,135758.4478,57632.4017252,128600.3183431,27666.50666,12731.96157,259229.69693,285732.22814,83579.172817,97030.02231,247561.6184,307341.860801,234667.82454,135139.75453,51882.0436,314311.89425,474403.5397,105790.5419,20624.29384,8289.287366,298.5576618,13.43009247,17.02502549,3505.848136,53664.54232,22733.34908,8152.247627,2654.518875,22249.419275,27382.03928,40452.33108,2254.773624,50563.22391,30847.47688,10898.62792,15241.59919,32940.89161,416436.8555,16742.41899,349344.4162,53591.59186,459440.2413,651807.4257,1118761.339,1224022.167,2438153.574,2936023.53,34363181.78,1825882.924,1099824.639,368166.9585,2665661.173,220151.0962,651163.6558,41514.8892,121929.1454,1877823.733,1241502.101,154195.33076,643546.61644,185540.9132,26678.948645
"883023.WI",1733872.932,20307047.12,21585473.5426,9263998.887,8172722.137,9425091.814,15121675.2682,10538043.233,2795353.756,1871184.34,2616471.658,1931742.207,5312175.15,4717289.2267,17527248.3105,6047923.93,980204.3988,10219193.792,10255076.8978,6775549.4198,2561567.596,7722950.39,12684463.0179,9481773.245,24275319.08,5090302.322,16080845.098,26753230.7351,1776771.35,1120620.63,4595178.744,467921.8526,5699175.846,1467677.818,956560.5543,3117414.176,1077753.226,1146862.221,769443.8063,1279272.9641,5550674.717,236492.5751,249858.7551,16860868.11,5491443.603,2194373.679,2682867.04,755222.3962,5891280.011,1164123.159,1460860.021,82497.10297,1189947.311,1150232.729,3488602.748,10641775.18,2290377.492,4407210.364,5914281.585,459595.2554,647310.2933,489592.3501,14698241.14,1509475.159,4446613.535,204041.3072,1065372.272,2336355.878,7805485.202,1096932.80597,2052009.9847,373178.7136,642139.6396
"883111.WI",0,210928.896998,86409353.7763,44762065.24874,13919785.83122,47924.879743309,0,10092667.1638,0,0,6679.049206,0,11191.85768,469321.7742,13399686.5061147,2815905.26921,81882.405898004,118887.9505301,198922.9220301,0,0,0,53.985997279,0,0,0,0.158493143,0,0,19925.00423,1275111.50134,0,74723171.1201,15627616.0058,2195556.60682,0,0,0,0,0.009413478,11850.62541,0,0,0,0,0,0,140318.753105,0,329519.5883701,85512.53071,0,0,1741504.3171,1741467.7323,43074830.1157,614598.2734,0,0,0,0,0,3573120.56422,489494.9467,39186.62751,105463.03675,113359.6028,3043648.37645,636552.26423,283756.5360758,243792.4814807,15341.555159,3741.706876
"883112.WI",0,90110.8745,7574032.58527,18060082.9794373,5792111.79512,10273.62516,29496.046258376,2595.16041507,25337.79306,5980.353692,4045.24322,0,12247.64933,74.83454492,470570.4924233,506653.961337,552.4806592,62005.64762,1082.440874,2035.9520738,5626.033016,17.05782873,377.349604738,1413.433998,0,392.03638041,32.21576736,0,0,0,0,0,0,0,0,0,0,0,0,0.012090174,68.1916854,0,1846.814357,0,0,0,0,186532.00359,20.97143501,551019.6173538,245478.71164,0,0,0,505852.5992,7955300.059,92597.97673,0,0,0,0,0,0,329120.4596,0,0,0,731033.0858,482022.4039,0,482809.739785,0,1686.265201902
"883113.WI",854634.6894,692933.6428,643512.45741,476743.971683,15557962.9201,135046.138711,318757.306161,1053509.37593,147560.28158,100606.0773,121582.34117,209538.92055,344878.77185,267984.955913,5747686.04281,1648586.4405,37806.21691,253626.00077,655009.481912,257768.525723,221371.10454,447369.4977,539351.708915,464180.5395,311958.9373,121897.41319,544922.337471,409449.116935,109563.8081,389295.15684,11893.520338,24638.85642,5274.8651808,12658.626235,181642.64239,107758.337591,23596.073039,222797.73439,105932.81688,75892.447307,207785.96676,15058.485071,146098.5545,910660.9118,404669.923,288285.8607,93244.47964,643603.16941,308881.8524,26837.467322,1461786.5477,19433.431694,49888.4891,181304.77531,7119065.78,8110687.868,629863.51839,134477.15017,477579.0244,69477.40058,280874.50043,20966.480148,696663.9091,445825.52775,392244.2375,24359.617388,179641.57279,480314.9881,1531235.40079,108180.328447,3244491.083969,91095.00057,45086.46627
"883114.WI",418.0280322,36426.772931,451052.213592,68258.373355,117358.11916,106796049.587,99980535.7187,8617891.2984,234508.8394138,1822735.428975,219035.82845,130678.46017,8387463.874,71241.922894,1133950.66393428,2062836.82351519,1105049.3066746,8846309.2659327,1741062.92940299,188955.476241,366743.6210078,408994.415062,209967.547095948,552551.2466636,1288811.15449,147949.082311241,377445.564514523,174922.001843503,23738.95724,2001537.01932,909.4610994,6792.105236,709.7590387,516.5182837,99661.12989,115602.6949,8974.760951,17001.97503,77320.34374,18894.99908,2297.2222305,4.648944971,229.5036591,106520.71568,9874.462603,2536.3171479,1898.7471236,28115.255389,1026.082128,0,15.65368607,0,0,10971.23066,9215.211608,0,0,0,0,0,0,2947.898789,106079.3752,567912.8493,23500.291603,29618.111371,184931.84929,448061.0517,2341562.45047,45547.8562249,107743.686144,74811.4197,229210.001579
"883115.WI",785692.12266302,657564.409216,349760.14009251,190273.13454867,179167.750495,3128917.222491,38551330.12194,2914969.98422,322807.167849,605164.3677,563566.072895,90974.6156087,2654897.6692,204747.824784693,970455.1097213,342603.393369,198189.926251,1536191.6760284,2199644.787979,723509.1458639,346431.4407702,1037103.73874,1112358.73178756,961273.9751137,2111034.3782459,418035.9476826,1137216.1067356,398109.29451245,112268.94635231,449299.09595,1580.1231074,21211.789604,1092.46011046,3053.4177459,65032.808285,561821.154757,211170.1319066,208062.916857,147384.178676,154667.97799856,284681.74971915,47928.2600997,85713.3888257,3178159.62674,1128811.304505,425919.70013,1111951.261232,103508.1990504,878833.6932937,24320.14076295,340891.5404,1307.29922081,634685.884784,320243.022295,2048834.76224001,328070.68576,221678.0922895,7673.698175,3017701.60979,166300.154063,56653.3461849,7134.6343538,4625289.053062,48000.315514,125914.519591,145103.63942366,380269.11096,67466.159707,2621335.732955,42347.881240123,1244587.66497725,686395.6324168,84970.3143547
"883116.WI",184183.27531,94371.525521,5763.07027449,9870.5039069,5668.7217045,179435.4409706,6435682.6498052,28858016.69891,2934.3352631,2150771.1240332,4226.051997,18732.6355299,750209.73433,4901.3574421,862609.3304051,12230.171834,628.21594689,308075.1966222,33333.189293,6636.55823345,19560.9608554,34034.46212,26072.63869638,402028.6667591,3815710.45493,62000.9748284,207235.282596,38066.74303566,25960.725685,24694.1344408,508.2306355,3124.001716,1967.079436,353.3438876,190602.3851,47383.75279,25679.367028,14525.30801267,6363.6110097,12078.36632976,1941.4956924,1311.1111571,1200.9242476,81871.7778,20677.057235,5467.859126,4194.1888344,43651.10717,44136.384557,728.0042919,4707.988898,669.3437169,6268.355693,32902.888673,14687.130794,14067.733877,61246.9073983,4859.78621,94737.055679,497.6471843,6263.762494,2471.10734631,84358.159265,3017.03805245,17524.039972,1283.14490733,24375.840967,28204.12688142,48535.827136,2632.662100347,96963.020158,14356.99681,7872.5699097
"883117.WI",3579.315845,11119.04014,115452.6663422,61248.407991,121995.9605,333428.46683,300103.69288,162810.63174,43511258.86,20239717.88,1627855.166,305532.8292,3049895.568,79109.596191,418854.98102,17272.95707,222420.0937,678475.6022,1816760.91419,329067.15485,415272.1684,2398913.404,1819702.15252,1062391.65315,549488.5394,409306.733,833597.24191,312806.595003,76329.16285,714176.4524,9770.080626,10998.43498,4031.740374,43066.43751,23614.90978,4020581.328,1473.261134,31239.88533,152662.6987,69760.289759,4206.709234,187.60293,319.9035957,10288479.51,2574954.688,141333.8104,17590950.84,62882.64139,2113.357873,10973.52133,38.22323509,74.10511105,10.71648232,4108.417917,1869.939155,89185.27749,332.5942257,169.1648855,15763.18464,620.7770086,0,0,3138.509169,257.2625979,784.2449428,42130.39048,1696.702753,505.1526463,1175.289026,504.2273022,6619.987125,222462.9017,52572.47257
"883118.WI",210926.7222,225208.813,2876.06878454,5783.5930171,3398.889537,2734.05134316,35136.5286124,2980.650792,251910.0614,458328.18,1330.138265,5416.944163,32928.89133,21157.888639,9218.0961768,6754.066563,1138.695562,11639.83493978,9747.6329676,3582.04402259,1062.7452627,29879.81976,66769.77954974,23063.9366096,2847100.91908,261964.08395,9157.8772346,24119.74634902,1685.231132,4722.341023,11175.19326,14853.47422,2252.946939,50722.73617,39216.65508,24793.1303,13099.10596,4707.831419,2353.301572,1727.4561168,7086.579114,3482.390741,1615.196038,770404.9856,57418.95568,15563.55514,1486109.656,17955.54448,83158.92797,8613.960057,8225.41774,277.493399,88678.97939,19481.84259,57689.19571,52610.02237,73331.89199,34054.73919,416761.5281,4416.780767,7487.754279,455.3512077,172985.5593,10481.3962,32462.54736,7887.459658,14672.25766,107.0262483,171.1948836,9119.369734,17214.173676,6356.382979,1521.9803418
